Name,Logo,Cuisine,Kosher,10bis,Longitude,Latitude,Address,People Actually Go?
גירף,https://d25t2285lxl5rf.cloudfront.net/images/shops/523.jpg,Asian,,checked,34.7812936,32.0770563,אבן גבירול 49 תל אביב יפו,checked
ריבר נודלס בר,https://d25t2285lxl5rf.cloudfront.net/images/shops/4194.gif,Asian,,checked,34.7817698,32.0749738,אבן גבירול 30 תל אביב יפו,checked
מינה טומיי,https://d25t2285lxl5rf.cloudfront.net/images/shops/12240.png,Asian,,checked,34.7863961,32.07040310000001,הארבעה 17 תל אביב יפו,checked
צופ צופ,https://d25t2285lxl5rf.cloudfront.net/images/shops/12781.png,Asian,,checked,34.781893,32.0736429,אבן גבירול 20 תל אביב יפו,checked
דים סאם שופ,https://d25t2285lxl5rf.cloudfront.net/images/shops/16203.jpg,Asian,checked,checked,34.7812348,32.0786679,אבן גבירול 61 תל אביב יפו,
אובן קובן,https://d25t2285lxl5rf.cloudfront.net/images/shops/16380.png,Asian,,checked,34.78440450000001,32.0703771,הארבעה 16 תל אביב יפו,checked
דים סאם שופ ,https://d25t2285lxl5rf.cloudfront.net/images/shops/19090.jpg,Asian,,checked,34.7752827,32.0753542,דיזנגוף 50 תל אביב יפו,
טייגר לילי,https://d25t2285lxl5rf.cloudfront.net/images/shops/19198.png,Asian,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
ניטן תאי,https://d25t2285lxl5rf.cloudfront.net/images/shops/21338.png,Asian,,checked,34.7872862,32.0705187,הארבעה 21 תל אביב יפו,
הירו ראמן בר שרונה,https://d25t2285lxl5rf.cloudfront.net/images/shops/22730.png,Asian,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
זוזוברה החשמונאים ,https://d25t2285lxl5rf.cloudfront.net/images/shops/23263.png,Asian,,checked,34.7859435,32.06934,החשמונאים 96 תל אביב יפו,
מקדונלד`ס,https://d25t2285lxl5rf.cloudfront.net/images/shops/1702.gif,Burger,,checked,34.7817698,32.0749738,אבן גבירול 30 תל אביב יפו,checked
BBB בורגר,https://d25t2285lxl5rf.cloudfront.net/images/shops/7125.gif,Burger,,checked,34.7842292,32.070371,הארבעה 12 תל אביב יפו,
עד העצם אקספרס,https://d25t2285lxl5rf.cloudfront.net/images/shops/9672.PNG,Burger,,checked,34.7816928,32.0733838,אבן גבירול 21 תל אביב יפו,
מיטבר בורגר,https://d25t2285lxl5rf.cloudfront.net/images/shops/19345.jpg,Burger,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
בורגר קינג,https://d25t2285lxl5rf.cloudfront.net/images/shops/20987.png,Burger,,checked,34.78137299999999,32.080822,אבן גבירול 74 תל אביב יפו,
בורגר קינג,https://d25t2285lxl5rf.cloudfront.net/images/shops/21055.png,Burger,,checked,34.77528300000001,32.0753543,דיזנגוף 50 תל אביב יפו,
